zipcode,popu_ratio_white,popu_ratio_black,popu_ratio_asian,mid_age,jail,bachelorplus,highschool,employ,hh_ratio_married,meanic_fam
90029,0.41,0.03,0.14,35.7,0.01,0.3,0.72,0.75,0.29,55512.39
90031,0.41,0.02,0.2,35.76,0.01,0.22,0.63,0.73,0.41,68147.5
90032,0.41,0.02,0.13,35.31,0.01,0.19,0.66,0.72,0.42,69023.53
90033,0.68,0.02,0.06,30.83,0.02,0.12,0.49,0.67,0.35,44517.67
90034,0.61,0.09,0.17,34.85,0.01,0.57,0.92,0.8,0.31,113636.85
90035,0.72,0.08,0.08,35.99,0.0,0.54,0.92,0.79,0.37,139573.12
90036,0.72,0.04,0.15,36.27,-0.0,0.67,0.97,0.8,0.3,143052.9
90037,0.31,0.16,0.01,29.33,0.02,0.06,0.46,0.65,0.33,41525.09
90038,0.53,0.05,0.12,35.51,0.01,0.47,0.83,0.8,0.29,115438.5
90039,0.55,0.02,0.17,37.65,0.01,0.44,0.84,0.78,0.37,106318.62
90040,0.64,0.02,0.06,35.1,0.01,0.07,0.63,0.75,0.41,60047.0
90041,0.52,0.01,0.27,41.88,0.0,0.44,0.87,0.76,0.51,121076.67
90042,0.48,0.02,0.14,35.38,0.01,0.31,0.75,0.75,0.41,86472.9
90043,0.22,0.58,0.01,38.77,0.03,0.17,0.76,0.63,0.29,74301.12
90044,0.28,0.3,0.0,29.82,0.03,0.06,0.58,0.63,0.33,46631.21
90045,0.49,0.23,0.11,36.71,0.01,0.48,0.93,0.72,0.4,125964.25
90046,0.81,0.04,0.07,40.18,0.02,0.64,0.97,0.79,0.3,182272.75
90047,0.18,0.63,0.01,38.23,0.03,0.14,0.77,0.64,0.29,66844.62
90048,0.73,0.05,0.12,36.71,0.0,0.68,0.96,0.79,0.29,158331.75
90049,0.84,0.02,0.1,40.55,0.0,0.75,0.98,0.76,0.41,259913.75
90051,0.31,0.1,0.0,27.4,0.02,0.08,0.43,0.63,0.54,46804.0
