zipcode,confirmed_cases,deaths
90302,315615,7140
90309,315615,7140
90001,315615,7140
90007,315615,7140
90012,315615,7140
90745,315615,7140
90505,315615,7140
90723,315615,7140
90242,315615,7140
90247,315615,7140
90211,315615,7140
90245,315615,7140
90077,315615,7140
90810,315615,7140
90807,315615,7140
91109,315615,7140
93534,315615,7140
93510,315615,7140
91356,315615,7140
91367,315615,7140
91411,315615,7140
91351,315615,7140
91380,315615,7140
91501,315615,7140
91372,315615,7140
91604,315615,7140
91606,315615,7140
91609,315615,7140
91325,315615,7140
91304,315615,7140
91326,315615,7140
91214,315615,7140
91731,315615,7140
90640,315615,7140
90060,315615,7140
90078,315615,7140
91031,315615,7140
91118,315615,7140
93553,315615,7140
90310,315615,7140
90748,315615,7140
91394,315615,7140
90714,315615,7140
93584,315615,7140
93586,315615,7140
91337,315615,7140
93560,315615,7140
91747,315615,7140
90082,315615,7140
93563,315615,7140
91334,315615,7140
90734,315615,7140
91899,315615,7140
91124,315615,7140
91482,315615,7140
91129,315615,7140
90509,315615,7140
90046,315615,7140
90040,315615,7140
90059,315615,7140
90043,315615,7140
90058,315615,7140
90061,315615,7140
90063,315615,7140
90267,315615,7140
90270,315615,7140
90017,315615,7140
90022,315615,7140
90010,315615,7140
90019,315615,7140
90744,315615,7140
90710,315615,7140
90716,315615,7140
90715,315615,7140
90250,315615,7140
90248,315615,7140
90230,315615,7140
90231,315615,7140
90232,315615,7140
91042,315615,7140
90840,315615,7140
90808,315615,7140
91107,315615,7140
91003,315615,7140
91387,315615,7140
91506,315615,7140
91342,315615,7140
91204,315615,7140
91208,315615,7140
91328,315615,7140
91207,315615,7140
91308,315615,7140
91309,315615,7140
91732,315615,7140
91746,315615,7140
91766,315615,7140
91776,315615,7140
91780,315615,7140
90832,315615,7140
93532,315615,7140
91499,315615,7140
91426,315615,7140
91341,315615,7140
90053,315615,7140
90296,315615,7140
90506,315615,7140
91043,315615,7140
91008,315615,7140
91116,315615,7140
91412,315615,7140
91508,315615,7140
90091,315615,7140
90630,315615,7140
90707,315615,7140
90050,315615,7140
91333,315615,7140
90099,315615,7140
91523,315615,7140
90662,315615,7140
93243,315615,7140
91121,315615,7140
91184,315615,7140
91786,315615,7140
91612,315615,7140
93644,5219,76
93639,5219,76
93643,5219,76
93630,5219,76
93620,5219,76
93637,5219,76
93636,5219,76
93601,5219,76
93614,5219,76
93653,5219,76
93669,5219,76
93604,5219,76
93610,5219,76
93645,5219,76
93622,5219,76
93638,5219,76
93602,5219,76
93626,5219,76
94903,7205,127
94901,7205,127
94949,7205,127
94913,7205,127
94912,7205,127
94970,7205,127
94933,7205,127
94950,7205,127
94974,7205,127
94941,7205,127
94965,7205,127
94966,7205,127
94963,7205,127
94930,7205,127
94956,7205,127
94952,7205,127
94945,7205,127
94939,7205,127
94973,7205,127
94942,7205,127
94964,7205,127
94940,7205,127
94976,7205,127
94979,7205,127
94925,7205,127
94920,7205,127
94948,7205,127
94938,7205,127
94904,7205,127
94937,7205,127
94924,7205,127
94977,7205,127
94946,7205,127
94915,7205,127
94914,7205,127
94971,7205,127
94929,7205,127
94947,7205,127
94960,7205,127
94978,7205,127
94957,7205,127
93623,81,2
93601,81,2
95345,81,2
95306,81,2
95338,81,2
95321,81,2
95369,81,2
95311,81,2
95389,81,2
95318,81,2
95325,81,2
95329,81,2
93653,81,2
95437,1213,21
95488,1213,21
95494,1213,21
95589,1213,21
95466,1213,21
95469,1213,21
95427,1213,21
95415,1213,21
95587,1213,21
95460,1213,21
95417,1213,21
95459,1213,21
95482,1213,21
95585,1213,21
95432,1213,21
95420,1213,21
95463,1213,21
95470,1213,21
95429,1213,21
95456,1213,21
95481,1213,21
95445,1213,21
95490,1213,21
95454,1213,21
95449,1213,21
95468,1213,21
95410,1213,21
