zipcode,popu_ratio_white,popu_ratio_black,popu_ratio_asian,mid_age,jail,bachelorplus,highschool,employ,hh_ratio_married,meanic_fam
94114,0.75,0.02,0.14,41.17,0.01,0.79,0.98,0.85,0.33,253356.0
94115,0.64,0.08,0.2,36.52,0.0,0.69,0.94,0.81,0.31,191866.38
94116,0.39,0.02,0.51,43.03,-0.0,0.52,0.9,0.75,0.5,159228.11
94117,0.69,0.08,0.14,35.66,0.03,0.71,0.95,0.83,0.29,199273.0
94118,0.58,0.02,0.33,38.21,0.0,0.68,0.92,0.8,0.41,213636.86
94121,0.43,0.02,0.47,43.09,0.0,0.54,0.88,0.8,0.4,140138.89
94122,0.39,0.02,0.49,39.72,-0.0,0.56,0.89,0.8,0.47,144328.0
94123,0.8,0.02,0.14,35.4,-0.02,0.83,0.98,0.89,0.27,245444.33
94124,0.19,0.26,0.34,37.35,0.02,0.28,0.76,0.71,0.41,91056.83
94127,0.56,0.04,0.29,43.66,0.01,0.66,0.95,0.81,0.55,187875.0
94129,0.66,0.02,0.24,36.0,0.0,0.76,0.99,0.81,0.42,214845.0
94130,0.43,0.06,0.4,38.35,0.02,0.61,0.92,0.76,0.22,197791.0
94131,0.66,0.04,0.19,42.4,-0.01,0.71,0.96,0.82,0.44,220130.2
94132,0.32,0.09,0.46,36.49,0.01,0.46,0.88,0.69,0.42,103010.75
94133,0.34,0.01,0.6,44.8,-0.0,0.39,0.66,0.77,0.37,100334.5
94134,0.18,0.09,0.53,40.89,0.01,0.25,0.78,0.73,0.47,98974.0
94141,0.4,0.03,0.2,34.5,0.0,0.57,0.87,0.78,0.28,136514.0
94158,0.65,0.07,0.2,34.7,0.1,0.8,1.0,0.88,0.4,239262.0
94188,0.73,0.02,0.14,37.4,0.01,0.57,0.97,0.85,0.29,151934.0
94301,0.64,0.01,0.28,41.48,0.01,0.8,0.98,0.76,0.5,216139.75
94303,0.42,0.09,0.1,33.82,0.02,0.27,0.77,0.77,0.41,104722.2
94304,0.67,0.01,0.25,39.45,0.02,0.79,0.95,0.79,0.61,232869.5
94305,0.59,0.03,0.3,30.65,0.01,0.92,0.99,0.59,0.26,185170.5
94306,0.52,0.02,0.39,40.96,-0.0,0.79,0.96,0.8,0.57,213456.8
94401,0.57,0.03,0.16,38.38,0.01,0.41,0.82,0.78,0.49,140912.0
94402,0.62,0.02,0.25,42.89,0.01,0.6,0.93,0.8,0.58,215792.14
94403,0.55,0.02,0.28,38.81,0.01,0.54,0.93,0.82,0.55,158407.1
94404,0.46,0.02,0.43,40.95,0.01,0.65,0.95,0.78,0.59,177697.4
94497,0.64,0.0,0.27,46.9,-0.0,0.66,0.98,0.79,0.59,221577.0
94501,0.49,0.08,0.29,40.6,0.0,0.49,0.89,0.75,0.44,130346.79
94502,0.41,0.03,0.45,44.0,0.0,0.59,0.93,0.78,0.7,175644.0
94503,0.47,0.09,0.24,36.23,0.01,0.28,0.84,0.71,0.56,109354.33
94505,0.81,0.04,0.04,45.6,0.01,0.29,0.96,0.74,0.67,141137.33
94506,0.57,0.02,0.36,42.1,0.0,0.72,0.97,0.77,0.77,211278.0
94507,0.92,0.01,0.05,52.1,-0.0,0.67,0.99,0.73,0.72,240913.0
94509,0.47,0.19,0.08,35.15,0.02,0.15,0.83,0.67,0.48,78132.91
94510,0.64,0.07,0.16,44.7,0.02,0.41,0.96,0.76,0.57,127727.67
94511,0.8,0.09,0.02,42.8,-0.01,0.21,0.88,0.65,0.5,101163.0
94513,0.65,0.09,0.11,39.1,0.01,0.3,0.89,0.74,0.64,124799.12
94515,0.86,0.0,0.03,48.2,0.0,0.39,0.87,0.76,0.58,164637.33
94517,0.81,0.01,0.09,46.12,0.01,0.56,0.98,0.76,0.68,202978.25
94518,0.72,0.03,0.13,44.05,0.01,0.41,0.9,0.73,0.59,116744.75
94519,0.6,0.06,0.16,45.0,0.01,0.35,0.9,0.73,0.34,96882.0
94520,0.56,0.05,0.14,36.17,0.01,0.28,0.82,0.74,0.48,87956.64
94521,0.69,0.05,0.12,39.91,0.01,0.35,0.91,0.74,0.57,116810.29
94523,0.77,0.02,0.12,42.76,0.02,0.57,0.97,0.76,0.55,163402.5
94526,0.8,0.01,0.15,45.23,0.0,0.71,0.98,0.76,0.71,230946.67
94530,0.49,0.1,0.28,40.91,0.01,0.57,0.93,0.75,0.47,124530.73
94531,0.41,0.19,0.16,35.24,0.02,0.27,0.9,0.7,0.62,105079.8
94533,0.45,0.17,0.14,33.63,0.02,0.18,0.83,0.64,0.5,79769.5
94534,0.58,0.11,0.17,41.53,0.01,0.35,0.9,0.74,0.58,131102.67
94535,0.54,0.13,0.11,29.45,0.02,0.24,0.86,0.48,0.67,85607.0
94536,0.33,0.03,0.47,37.44,0.01,0.51,0.93,0.76,0.64,142455.75
94538,0.25,0.04,0.52,36.67,0.01,0.48,0.92,0.76,0.66,126282.15
94539,0.22,0.01,0.7,43.89,-0.0,0.71,0.96,0.74,0.81,208653.0
94541,0.52,0.12,0.17,36.42,0.01,0.26,0.81,0.75,0.44,91281.7
94542,0.47,0.14,0.22,40.3,0.02,0.45,0.91,0.76,0.58,136690.8
94544,0.4,0.09,0.24,34.69,0.02,0.21,0.78,0.74,0.5,88341.68
94545,0.33,0.08,0.35,38.52,0.02,0.24,0.83,0.74,0.54,97343.0
94546,0.61,0.07,0.2,41.51,0.01,0.37,0.92,0.78,0.54,118054.89
94547,0.3,0.15,0.42,39.56,0.01,0.4,0.91,0.77,0.56,120336.14
94548,0.59,0.12,0.09,31.9,0.0,0.27,0.87,0.73,0.61,110313.0
94549,0.8,0.01,0.12,39.27,0.03,0.72,0.98,0.69,0.69,258502.75
94550,0.82,0.01,0.09,41.0,0.01,0.45,0.93,0.8,0.64,153970.56
94551,0.66,0.02,0.22,39.12,0.02,0.45,0.92,0.81,0.64,156407.1
94552,0.49,0.03,0.41,46.8,-0.02,0.61,0.97,0.72,0.69,190377.0
94553,0.72,0.04,0.1,41.04,0.01,0.33,0.91,0.74,0.45,106068.67
94555,0.17,0.04,0.63,36.43,0.0,0.54,0.93,0.75,0.73,157281.67
94556,0.77,0.03,0.14,43.95,0.01,0.74,0.99,0.71,0.69,253600.0
94558,0.75,0.01,0.05,42.07,0.01,0.36,0.85,0.8,0.58,126439.72
94559,0.82,0.01,0.02,39.35,0.01,0.33,0.88,0.81,0.49,118201.67
94560,0.34,0.05,0.32,37.99,0.02,0.33,0.89,0.75,0.6,121134.29
94561,0.66,0.08,0.06,36.3,0.02,0.16,0.85,0.71,0.57,98361.0
94563,0.76,0.02,0.16,46.83,-0.0,0.8,0.98,0.75,0.74,264815.0
94564,0.46,0.1,0.25,43.4,0.02,0.33,0.9,0.74,0.55,111780.0
94565,0.37,0.16,0.12,34.23,0.02,0.15,0.77,0.67,0.47,75862.0
94566,0.64,0.02,0.27,43.78,0.0,0.61,0.96,0.78,0.66,178113.56
94567,0.74,0.05,0.09,36.7,0.02,0.46,0.89,0.77,0.6,139857.0
94568,0.54,0.05,0.3,37.61,0.01,0.58,0.94,0.76,0.61,157926.78
94570,0.69,0.0,0.23,44.7,0.0,0.71,0.99,0.79,0.54,185181.0
94571,0.83,0.04,0.04,56.2,0.02,0.18,0.9,0.58,0.45,75353.0
94572,0.43,0.1,0.34,49.3,0.02,0.45,0.96,0.81,0.64,182394.0
94574,0.87,0.01,0.02,53.52,0.02,0.42,0.91,0.71,0.52,134340.2
94577,0.43,0.12,0.27,39.96,0.01,0.3,0.83,0.74,0.47,96937.64
94578,0.39,0.17,0.28,38.2,0.01,0.28,0.83,0.73,0.42,89318.57
94579,0.38,0.06,0.43,42.38,0.01,0.27,0.79,0.75,0.55,100570.0
94580,0.51,0.08,0.21,39.14,0.02,0.23,0.82,0.7,0.58,93787.0
94581,0.78,0.03,0.02,33.9,0.02,0.29,0.8,0.67,0.28,88038.0
94582,0.24,0.05,0.62,34.8,0.02,0.71,0.96,0.76,0.72,178108.0
94583,0.64,0.02,0.27,41.96,0.0,0.64,0.97,0.78,0.69,186532.44
94585,0.41,0.22,0.21,34.1,0.02,0.2,0.89,0.74,0.51,91042.75
94587,0.22,0.05,0.53,39.99,0.0,0.36,0.9,0.75,0.65,125660.53
94588,0.51,0.02,0.39,37.36,0.02,0.58,0.95,0.8,0.73,167102.6
94589,0.37,0.22,0.25,37.52,0.02,0.21,0.85,0.68,0.47,83728.83
94590,0.43,0.25,0.14,37.52,0.03,0.22,0.84,0.67,0.28,59997.2
94591,0.4,0.17,0.26,40.39,0.02,0.26,0.9,0.68,0.48,97618.0
94592,0.45,0.29,0.13,34.0,0.05,0.35,0.91,0.62,0.36,85397.0
94595,0.85,0.02,0.09,61.57,-0.03,0.64,0.98,0.7,0.46,148295.25
94596,0.77,0.01,0.14,41.19,0.0,0.64,0.98,0.76,0.52,169348.86
94597,0.76,0.01,0.13,42.07,0.0,0.61,0.98,0.78,0.49,161243.0
94598,0.76,0.01,0.16,48.08,0.0,0.66,0.98,0.76,0.65,191797.0
94599,0.87,0.01,0.04,58.3,-0.0,0.37,0.87,0.75,0.48,145543.5
94601,0.29,0.2,0.13,32.49,0.01,0.19,0.62,0.67,0.37,60752.5
94602,0.41,0.19,0.23,40.71,0.01,0.44,0.84,0.73,0.41,113495.71
94603,0.21,0.36,0.04,32.06,0.03,0.11,0.67,0.67,0.34,63770.14
94605,0.25,0.43,0.06,36.64,0.02,0.32,0.84,0.71,0.39,97595.5
94606,0.27,0.17,0.36,35.06,0.01,0.3,0.72,0.73,0.36,69538.31
94607,0.22,0.4,0.26,35.89,0.02,0.32,0.8,0.67,0.24,65988.71
94608,0.45,0.25,0.16,36.36,0.02,0.54,0.92,0.76,0.28,107720.2
94609,0.54,0.21,0.1,36.36,0.02,0.6,0.93,0.78,0.29,125445.75
94610,0.59,0.14,0.15,41.68,0.01,0.7,0.95,0.84,0.4,166237.78
94611,0.69,0.08,0.14,43.7,0.0,0.75,0.97,0.82,0.46,198151.57
94612,0.33,0.27,0.25,37.76,0.04,0.45,0.84,0.75,0.21,71874.2
94615,0.4,0.31,0.14,31.8,0.03,0.36,0.82,0.74,0.33,59829.0
94618,0.73,0.08,0.1,44.7,-0.02,0.76,0.97,0.79,0.48,240998.33
94619,0.44,0.17,0.22,43.06,0.02,0.48,0.88,0.76,0.5,138178.2
94620,0.76,0.04,0.13,50.3,0.01,0.66,0.94,0.87,0.24,173572.0
94621,0.24,0.28,0.05,29.99,0.03,0.1,0.59,0.64,0.34,51358.14
94624,0.26,0.26,0.1,28.0,0.02,0.12,0.59,0.63,0.46,70168.0
94702,0.57,0.15,0.15,37.78,0.01,0.64,0.94,0.76,0.34,132352.67
94703,0.53,0.18,0.18,31.57,0.02,0.66,0.96,0.71,0.24,101377.0
94704,0.55,0.04,0.29,30.18,0.0,0.68,0.98,0.6,0.25,157452.2
94705,0.71,0.05,0.12,35.48,-0.01,0.78,0.98,0.76,0.42,203856.2
94706,0.58,0.07,0.21,40.5,0.0,0.7,0.95,0.78,0.5,146990.83
94707,0.74,0.03,0.14,45.26,-0.0,0.81,0.98,0.79,0.56,196404.5
94708,0.8,0.01,0.12,52.73,0.01,0.86,0.99,0.75,0.61,242880.67
94709,0.69,0.02,0.23,37.15,0.01,0.86,0.99,0.76,0.36,173435.5
94710,0.44,0.11,0.2,31.45,0.03,0.62,0.93,0.62,0.46,67337.5
94720,0.55,0.03,0.29,25.4,-0.04,0.79,0.95,0.58,0.25,159539.0
94801,0.4,0.2,0.13,33.53,0.02,0.14,0.66,0.68,0.46,71407.33
94802,0.24,0.22,0.08,30.0,0.02,0.12,0.58,0.7,0.38,53291.0
94803,0.6,0.09,0.2,43.1,0.02,0.29,0.89,0.66,0.5,98650.0
